,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,TOP 10_x,POINTS,TOP 10_y,1ST,Year
127,Patrick Rodgers,76,71.432,306.3,52.90,65.84,-.066,-.650,-.716,53.63,244,455,2,649,3,,2017
128,Aaron Baddeley,61,71.483,292.6,52.25,62.57,.044,-.216,-.172,59.90,230,384,2,325,2,,2017
129,Dominic Bozzelli,69,71.490,294.4,56.57,61.97,-.033,-.417,-.449,57.75,257,445,3,394,3,,2017
130,Kelly Kraft,75,71.491,291.9,60.06,63.15,-.157,-.524,-.681,53.50,252,471,2,684,3,,2017
131,Mark Anderson,54,71.500,283.8,59.97,65.60,-.016,-.309,-.325,61.18,197,322,1,,1,,2017
132,Derek Fathauer,81,71.568,286.5,55.49,62.81,.094,-.740,-.647,53.78,270,502,1,408,2,,2017
133,Steve Wheatcroft,51,71.577,280.5,68.24,60.99,.479,-.641,-.162,63.64,210,330,1,,1,,2017
134,Cody Gribble,79,71.581,297.2,54.77,62.70,.461,-.985,-.524,54.74,283,517,2,614,2,1,2017
135,Patton Kizzire,84,71.598,293.0,52.54,63.52,-.103,-.475,-.578,54.31,271,499,2,519,3,,2017
136,Jonathan Randolph,68,71.642,287.7,64.25,62.87,-.076,-.340,-.416,56.77,239,421,1,,1,,2017
137,Chad Collins,66,71.770,281.4,59.31,60.93,.079,-.533,-.454,63.07,275,436,1,305,2,,2017
138,Rod Pampling,71,71.861,287.8,60.83,64.01,-.518,-.158,-.677,52.83,243,460,1,660,1,1,2017
139,Ryo Ishikawa,56,71.990,288.8,51.92,63.29,-.204,-.928,-1.132,57.84,214,370,1,,1,,2017
140,Si Woo Kim,80,72.253,289.8,57.03,59.63,-.392,-.573,-.965,55.41,302,545,2,956,2,1,2017
141,Andrew Loupe,55,72.803,311.3,45.93,59.83,-.242,-1.175,-1.416,50.27,189,376,1,,1,,2017
