,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10,1ST,2ND,3RD,Year
24,Patrick Cantlay,"2,221",39,"2,221","19,427","19,427",64,282,282,451,387,387,576,-0.35,6.031,6.031,.491,.491,.173,.288,28.879,28.879,22.849,6.031,122,122,189,"1,410",11,1,6,"1,432",,1,1,2,,2017
25,Viktor Hovland,"2,918",49,"2,918","25,772","25,772",84,383,383,588,523,523,756,-0.35,8.252,8.252,.562,.562,.978,-.728,35.859,35.859,27.608,8.252,145,145,233,"1,128",13,1,4,"1,714",,1,1,1,,2017
26,Corey Conners,"3,704",60,"3,704","31,908","31,908",106,485,485,742,667,667,954,-0.27,4.423,4.423,.715,.715,.278,.018,49.930,49.930,45.507,4.423,179,179,287,703,16,0,2,"2,139",,,,,1,2017
27,Tyrrell Hatton,"2,675",46,"2,675","22,716","22,716",76,291,291,526,428,428,684,-0.34,29.730,29.730,-.036,-.036,.329,.210,44.850,44.850,15.119,29.730,144,144,256,564,12,0,2,"2,278",,,,1,,2017
28,Keith Mitchell,"3,897",61,"3,897","34,621","34,621",112,480,480,779,682,682,"1,008",-0.30,9.073,9.073,.728,.728,-.044,.089,46.155,46.155,37.081,9.073,208,208,326,638,18,0,4,"2,204",,,,,1,2017
29,Keegan Bradley,"3,771",61,"3,771","30,764","30,764",100,442,442,750,634,634,972,-0.31,1.609,1.609,.519,.519,.463,.225,54.752,54.752,53.144,1.609,205,205,338,761,17,0,5,"2,081",,,,1,,2017
30,Max Homa,"3,360",55,"3,360","29,204","29,204",96,419,419,672,573,573,864,-0.35,18.172,18.172,.498,.498,.617,-.056,62.646,62.646,44.475,18.172,166,166,291,"1,401",15,2,3,"1,441",,2,2,,,2017
31,Aaron Wise,"3,895",56,"3,895","34,376","34,376",112,460,460,774,698,698,"1,008",-0.31,-4.644,-4.644,.365,.365,.510,.146,47.451,47.451,52.095,-4.644,193,193,310,529,16,0,3,"2,313",,,,,,2017
32,Troy Merritt,"4,137",61,"4,137","32,131","32,131",110,502,502,817,651,651,"1,062",-0.31,25.233,25.233,.129,.129,.039,.042,34.924,34.924,9.692,25.233,273,273,411,539,17,0,2,"2,303",,,,,,2017
33,Chris Kirk,"3,768",58,"3,768","30,051","30,051",100,487,487,749,650,650,972,-0.30,-5.267,-5.267,.453,.453,.463,.512,53.311,53.311,58.579,-5.267,205,205,322,499,17,0,3,"2,343",,,,,,2017
34,Brian Harman,"3,846",58,"3,846","31,744","31,744",110,524,524,761,660,660,990,-0.28,13.436,13.436,.167,.167,.044,.073,26.549,26.549,13.112,13.436,209,209,330,451,17,0,3,"2,391",,,,,1,2017
35,Maverick McNealy,"4,324",67,"4,324","35,592","35,592",116,496,496,859,748,748,"1,116",-0.34,22.002,22.002,.292,.292,.189,-.078,42.570,42.570,20.567,22.002,211,211,368,757,18,0,2,"2,085",,,,1,,2017
36,Marc Leishman,"3,621",59,"3,621","31,809","31,809",104,421,421,728,634,634,936,-0.33,27.517,27.517,.053,.053,.362,.026,48.275,48.275,20.757,27.517,193,193,302,601,16,0,3,"2,241",,,,,1,2017
37,Alex Noren,"3,545",56,"3,545","28,221","28,221",94,412,412,706,615,615,918,-0.30,19.740,19.740,.024,.024,.299,.066,34.910,34.910,15.172,19.740,200,200,303,492,16,0,2,"2,350",,,,,,2017
38,Jhonattan Vegas,"3,986",57,"3,986","33,720","33,720",106,444,444,786,704,704,"1,026",-0.31,-2.436,-2.436,.422,.422,.386,-.145,26.113,26.113,28.550,-2.436,185,185,322,379,16,0,1,"2,463",,,,,,2017
39,Luke List,"4,070",61,"4,070","34,063","34,063",108,448,448,804,726,726,"1,044",-0.27,-36.156,-36.156,.757,.757,.556,.172,32.178,32.178,68.332,-36.156,188,188,318,861,20,1,3,"1,981",,1,1,,,2017
40,Louis Oosthuizen,"2,099",33,"2,099","17,950","17,950",60,281,281,416,358,358,540,-0.30,-.589,-.589,.438,.438,-.133,.364,18.835,18.835,19.424,-.589,109,109,182,175,10,0,,"2,667",,,,,,2017
41,Gary Woodland,"3,449",49,"3,449","30,534","30,534",98,364,364,676,590,590,882,-0.28,11.773,11.773,.209,.209,.432,.066,41.459,41.459,29.686,11.773,181,181,292,470,16,0,4,"2,372",,,,,,2017
42,Davis Riley,"4,328",66,"4,328","37,987","37,987",124,544,544,855,755,755,"1,116",-0.33,12.529,12.529,.344,.344,-.046,-.035,25.667,25.667,13.135,12.529,212,212,361,788,20,0,5,"2,054",,,,1,,2017
43,Sergio Garcia,"2,256",37,"2,256","19,485","19,485",64,268,268,448,386,386,576,-0.28,5.983,5.983,.712,.712,-.266,.040,17.648,17.648,11.667,5.983,118,118,190,294,11,0,1,"2,548",,,,,,2017
44,Matthias Schwab,"3,218",50,"3,218","26,700","26,700",92,385,385,637,562,562,828,-0.28,19.496,19.496,-.423,-.423,.193,.314,22.116,22.116,2.619,19.496,163,163,266,292,14,0,3,"2,550",,,,,,2017
45,Mackenzie Hughes,"3,521",53,"3,521","27,232","27,232",92,411,411,689,577,577,900,-0.30,23.737,23.737,-.272,-.272,-.103,.215,17.668,17.668,-6.070,23.737,195,195,323,670,17,0,3,"2,172",,,,1,,2017
46,Mark Hubbard,"2,791",44,"2,791","22,782","22,782",80,341,341,555,488,488,720,-0.30,2.115,2.115,-.214,-.214,.335,.298,13.436,13.436,11.322,2.115,152,152,232,234,13,0,,"2,608",,,,,,2017
47,Webb Simpson,"2,663",41,"2,663","22,794","22,794",76,344,344,528,440,440,684,-0.31,.892,.892,-.015,-.015,.205,.296,16.954,16.954,16.061,.892,144,144,244,262,12,0,1,"2,580",,,,,,2017
48,Lanto Griffin,"4,778",68,"4,778","38,639","38,639",128,544,544,937,808,808,"1,224",-0.30,12.024,12.024,.160,.160,.383,-.278,27.354,27.354,15.327,12.024,257,257,416,583,19,0,4,"2,259",,,,,1,2017
49,Russell Knox,"4,696",71,"4,696","39,404","39,404",134,638,638,929,869,869,"1,206",-0.24,-31.253,-31.253,.298,.298,.535,-.021,14.235,14.235,45.488,-31.253,198,198,337,398,21,0,2,"2,444",,,,,,2017
50,C.T. Pan,"4,000",57,"4,000","31,382","31,382",106,480,480,784,691,691,"1,026",-0.27,-.726,-.726,.084,.084,.348,.249,30.593,30.593,31.320,-.726,211,211,335,404,16,0,2,"2,438",,,,,,2017
51,Adam Long,"4,413",65,"4,413","34,379","34,379",118,557,557,868,734,734,"1,134",-0.30,29.616,29.616,.055,.055,-.175,.078,27.451,27.451,-2.164,29.616,259,259,400,373,20,0,,"2,469",,,,,,2017
52,Cameron Tringale,"4,194",67,"4,194","33,974","33,974",112,483,483,823,743,743,"1,080",-0.31,10.425,10.425,-.182,-.182,.447,.127,29.656,29.656,19.229,10.425,205,205,337,794,19,0,4,"2,048",,,,1,1,2017
53,Charles Howell III,"2,936",42,"2,936","25,584","25,584",84,357,357,584,530,530,756,-0.27,-12.343,-12.343,.338,.338,-.049,.450,13.520,13.520,25.864,-12.343,139,139,226,277,13,0,1,"2,565",,,,,,2017
54,Christiaan Bezuidenhout,"3,513",57,"3,513","28,743","28,743",100,455,455,693,583,583,900,-0.26,7.259,7.259,.159,.159,.170,.180,24.054,24.054,16.796,7.259,216,216,317,345,16,0,,"2,497",,,,,,2017
55,Adam Hadwin,"4,192",62,"4,192","35,515","35,515",120,535,535,835,744,744,"1,080",-0.28,7.947,7.947,-.127,-.127,.458,.348,39.190,39.190,31.242,7.947,214,214,336,532,18,0,4,"2,310",,,,,,2017
