,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10,1ST,2ND,3RD,Year
40,Louis Oosthuizen,"2,099",33,"2,099","17,950","17,950",60,281,281,416,358,358,540,-0.30,-.589,-.589,.438,.438,-.133,.364,18.835,18.835,19.424,-.589,109,109,182,175,10,0,,"2,667",,,,,,2018
41,Gary Woodland,"3,449",49,"3,449","30,534","30,534",98,364,364,676,590,590,882,-0.28,11.773,11.773,.209,.209,.432,.066,41.459,41.459,29.686,11.773,181,181,292,470,16,0,4,"2,372",,,,,,2018
42,Davis Riley,"4,328",66,"4,328","37,987","37,987",124,544,544,855,755,755,"1,116",-0.33,12.529,12.529,.344,.344,-.046,-.035,25.667,25.667,13.135,12.529,212,212,361,788,20,0,5,"2,054",,,,1,,2018
43,Sergio Garcia,"2,256",37,"2,256","19,485","19,485",64,268,268,448,386,386,576,-0.28,5.983,5.983,.712,.712,-.266,.040,17.648,17.648,11.667,5.983,118,118,190,294,11,0,1,"2,548",,,,,,2018
44,Matthias Schwab,"3,218",50,"3,218","26,700","26,700",92,385,385,637,562,562,828,-0.28,19.496,19.496,-.423,-.423,.193,.314,22.116,22.116,2.619,19.496,163,163,266,292,14,0,3,"2,550",,,,,,2018
45,Mackenzie Hughes,"3,521",53,"3,521","27,232","27,232",92,411,411,689,577,577,900,-0.30,23.737,23.737,-.272,-.272,-.103,.215,17.668,17.668,-6.070,23.737,195,195,323,670,17,0,3,"2,172",,,,1,,2018
46,Mark Hubbard,"2,791",44,"2,791","22,782","22,782",80,341,341,555,488,488,720,-0.30,2.115,2.115,-.214,-.214,.335,.298,13.436,13.436,11.322,2.115,152,152,232,234,13,0,,"2,608",,,,,,2018
47,Webb Simpson,"2,663",41,"2,663","22,794","22,794",76,344,344,528,440,440,684,-0.31,.892,.892,-.015,-.015,.205,.296,16.954,16.954,16.061,.892,144,144,244,262,12,0,1,"2,580",,,,,,2018
48,Lanto Griffin,"4,778",68,"4,778","38,639","38,639",128,544,544,937,808,808,"1,224",-0.30,12.024,12.024,.160,.160,.383,-.278,27.354,27.354,15.327,12.024,257,257,416,583,19,0,4,"2,259",,,,,1,2018
49,Russell Knox,"4,696",71,"4,696","39,404","39,404",134,638,638,929,869,869,"1,206",-0.24,-31.253,-31.253,.298,.298,.535,-.021,14.235,14.235,45.488,-31.253,198,198,337,398,21,0,2,"2,444",,,,,,2018
50,C.T. Pan,"4,000",57,"4,000","31,382","31,382",106,480,480,784,691,691,"1,026",-0.27,-.726,-.726,.084,.084,.348,.249,30.593,30.593,31.320,-.726,211,211,335,404,16,0,2,"2,438",,,,,,2018
51,Adam Long,"4,413",65,"4,413","34,379","34,379",118,557,557,868,734,734,"1,134",-0.30,29.616,29.616,.055,.055,-.175,.078,27.451,27.451,-2.164,29.616,259,259,400,373,20,0,,"2,469",,,,,,2018
52,Cameron Tringale,"4,194",67,"4,194","33,974","33,974",112,483,483,823,743,743,"1,080",-0.31,10.425,10.425,-.182,-.182,.447,.127,29.656,29.656,19.229,10.425,205,205,337,794,19,0,4,"2,048",,,,1,1,2018
53,Charles Howell III,"2,936",42,"2,936","25,584","25,584",84,357,357,584,530,530,756,-0.27,-12.343,-12.343,.338,.338,-.049,.450,13.520,13.520,25.864,-12.343,139,139,226,277,13,0,1,"2,565",,,,,,2018
54,Christiaan Bezuidenhout,"3,513",57,"3,513","28,743","28,743",100,455,455,693,583,583,900,-0.26,7.259,7.259,.159,.159,.170,.180,24.054,24.054,16.796,7.259,216,216,317,345,16,0,,"2,497",,,,,,2018
55,Adam Hadwin,"4,192",62,"4,192","35,515","35,515",120,535,535,835,744,744,"1,080",-0.28,7.947,7.947,-.127,-.127,.458,.348,39.190,39.190,31.242,7.947,214,214,336,532,18,0,4,"2,310",,,,,,2018
56,Harold Varner III,"3,010",50,"3,010","26,105","26,105",86,329,329,597,502,502,774,-0.34,1.873,1.873,-.136,-.136,.413,.397,25.483,25.483,23.610,1.873,171,171,272,557,15,0,3,"2,285",,,,,1,2018
57,Adam Scott,"2,810",44,"2,810","25,006","25,006",80,308,308,556,476,476,720,-0.33,16.377,16.377,.214,.214,.291,-.181,27.718,27.718,11.341,16.377,144,144,244,417,12,0,3,"2,425",,,,,,2018
58,J.J. Spaun,"5,055",72,"5,055","42,343","42,343",144,649,649,999,880,880,"1,296",-0.29,4.034,4.034,.207,.207,.186,-.008,24.812,24.812,20.776,4.034,252,252,416,897,21,1,2,"1,945",,1,1,,,2018
59,Matthew NeSmith,"4,497",68,"4,497","35,637","35,637",120,560,560,883,798,798,"1,152",-0.26,-12.978,-12.978,.185,.185,.487,.027,23.396,23.396,36.373,-12.978,215,215,354,475,20,0,2,"2,367",,,,,1,2018
60,Jordan Spieth,"2,926",45,"2,926","25,851","25,851",84,348,348,591,523,523,756,-0.32,-14.276,-14.276,.467,.467,.643,.259,36.409,36.409,50.686,-14.276,156,156,233,"1,277",13,1,3,"1,565",,1,1,2,,2018
61,Daniel Berger,"1,975",31,"1,975","16,458","16,458",56,271,271,396,326,326,504,-0.29,-1.777,-1.777,.379,.379,.579,.300,27.161,27.161,28.939,-1.777,118,118,178,395,9,0,2,"2,447",,,,,,2018
62,Brendan Steele,"3,737",57,"3,737","30,081","30,081",98,438,438,738,647,647,954,-0.24,-18.383,-18.383,.707,.707,.094,-.129,9.832,9.832,28.216,-18.383,192,192,307,563,17,0,3,"2,279",,,,1,,2018
63,Jason Day,"2,810",44,"2,810","24,153","24,153",80,331,331,553,462,462,720,-0.33,8.863,8.863,-.148,-.148,-.185,.230,5.396,5.396,-3.469,8.863,159,159,258,302,13,0,2,"2,540",,,,,1,2018
64,K.H. Lee,"4,494",64,"4,494","36,019","36,019",120,569,569,896,759,759,"1,152",-0.30,6.161,6.161,.333,.333,-.038,.027,24.244,24.244,18.085,6.161,244,244,393,781,18,1,1,"2,061",,1,1,,,2018
65,Joel Dahmen,"4,127",63,"4,127","34,586","34,586",118,560,560,821,737,737,"1,062",-0.29,-1.083,-1.083,.191,.191,.343,-.320,9.678,9.678,10.759,-1.083,185,185,325,410,18,0,2,"2,432",,,,,,2018
66,Nate Lashley,"4,188",60,"4,188","35,529","35,529",120,521,521,829,734,734,"1,080",-0.30,11.764,11.764,.014,.014,.171,.035,21.710,21.710,9.944,11.764,218,218,346,393,19,0,1,"2,449",,,,,,2018
67,Aaron Rai,"4,273",65,"4,273","35,907","35,907",122,561,561,845,756,756,"1,098",-0.27,-6.976,-6.976,.185,.185,.348,-.028,15.760,15.760,22.737,-6.976,214,214,342,380,20,0,2,"2,462",,,,,,2018
68,Justin Rose,"2,388",41,"2,388","20,354","20,354",68,305,305,475,412,412,612,-0.31,9.476,9.476,.098,.098,.052,-.141,9.693,9.693,.216,9.476,124,124,200,308,12,0,1,"2,534",,,,,,2018
69,Alex Smalley,"4,287",63,"4,287","37,254","37,254",122,518,518,843,758,758,"1,098",-0.27,-9.113,-9.113,.316,.316,.071,-.198,-.266,-.266,8.847,-9.113,205,205,340,429,20,0,2,"2,413",,,,1,,2018
70,Jason Kokrak,"3,366",51,"3,366","29,719","29,719",96,417,417,670,564,564,864,-0.32,16.028,16.028,.044,.044,.085,-.084,18.012,18.012,1.983,16.028,184,184,300,784,14,1,1,"2,058",,1,1,,,2018
71,Sebastián Muñoz,"3,859",58,"3,859","30,956","30,956",102,471,471,760,669,669,990,-0.29,-12.313,-12.313,.288,.288,.260,.100,18.192,18.192,30.505,-12.313,191,191,321,692,17,0,3,"2,150",,,,,2,2018
72,Brendon Todd,"4,008",61,"4,008","29,303","29,303",106,545,545,787,660,660,"1,026",-0.27,29.297,29.297,-.437,-.437,-.049,.192,16.367,16.367,-12.931,29.297,239,239,366,318,18,0,1,"2,524",,,,,,2018
73,Taylor Pendrith,"3,585",51,"3,585","32,040","32,040",102,396,396,711,640,640,918,-0.26,-3.138,-3.138,.466,.466,-.147,-.012,8.841,8.841,11.979,-3.138,165,165,278,336,15,0,1,"2,506",,,,,,2018
74,Rickie Fowler,"3,183",45,"3,183","25,519","25,519",82,361,361,626,513,513,810,-0.30,-8.838,-8.838,-.083,-.083,.245,.294,6.683,6.683,15.524,-8.838,167,167,297,291,14,0,1,"2,551",,,,,1,2018
75,Rory Sabbatini,"2,451",35,"2,451","19,978","19,978",70,311,311,490,406,406,630,-0.30,10.149,10.149,-.114,-.114,-.259,.566,15.947,15.947,5.798,10.149,142,142,224,221,12,0,1,"2,621",,,,,1,2018
76,Ryan Palmer,"3,173",49,"3,173","25,180","25,180",82,346,346,621,556,556,810,-0.26,-14.161,-14.161,.491,.491,.252,.096,12.664,12.664,26.825,-14.161,139,139,254,310,15,0,1,"2,532",,,,,,2018
77,Tony Finau,"3,371",51,"3,371","29,046","29,046",96,384,384,670,594,594,864,-0.29,-14.914,-14.914,.473,.473,.490,.064,23.094,23.094,38.010,-14.914,161,161,270,412,15,0,1,"2,430",,,,1,,2018
78,Scott Stallings,"4,361",64,"4,361","37,617","37,617",124,461,461,857,717,717,"1,116",-0.30,18.534,18.534,-.095,-.095,-.018,.043,15.005,15.005,-3.531,18.534,248,248,399,420,21,0,2,"2,422",,,,,,2018
79,Martin Laird,"2,964",44,"2,964","25,059","25,059",84,394,394,584,514,514,756,-0.24,-17.382,-17.382,.223,.223,.355,.105,7.862,7.862,25.244,-17.382,155,155,242,214,14,0,,"2,628",,,,,,2018
80,Patrick Rodgers,"3,875",59,"3,875","33,945","33,945",110,380,380,765,685,685,990,-0.27,14.749,14.749,.075,.075,.041,.019,20.280,20.280,5.532,14.749,185,185,305,377,18,0,3,"2,465",,,,,,2018
81,J.T. Poston,"3,520",52,"3,520","29,811","29,811",100,425,425,694,586,586,900,-0.27,-.454,-.454,.369,.369,-.273,.100,8.158,8.158,8.612,-.454,205,205,314,284,19,0,2,"2,558",,,,,1,2018
82,Dustin Johnson,"2,111",37,"2,111","18,767","18,767",60,229,229,416,358,358,540,-0.32,-5.499,-5.499,.337,.337,.532,-.123,13.154,13.154,18.653,-5.499,107,107,182,350,10,0,2,"2,492",,,,,,2018
83,James Hahn,"3,170",49,"3,170","24,604","24,604",82,384,384,620,527,527,810,-0.26,-16.164,-16.164,.306,.306,.062,.167,2.054,2.054,18.219,-16.164,182,182,283,239,17,0,2,"2,603",,,,,,2018
84,Matt Jones,"3,862",55,"3,862","31,415","31,415",102,412,412,765,647,647,990,-0.30,-17.031,-17.031,.249,.249,-.078,.556,15.679,15.679,32.712,-17.031,207,207,343,592,18,0,2,"2,250",,,,1,1,2018
85,Luke Donald,"3,167",45,"3,167","25,623","25,623",90,374,374,623,536,536,810,-0.27,-2.455,-2.455,-.828,-.828,.691,.276,1.980,1.980,4.435,-2.455,171,171,274,139,15,0,,"2,703",,,,,,2018
86,Abraham Ancer,"3,363",53,"3,363","28,263","28,263",96,472,472,670,575,575,864,-0.31,9.156,9.156,.355,.355,.055,-.530,4.406,4.406,-4.749,9.156,178,178,289,414,15,0,3,"2,428",,,,,,2018
87,Kramer Hickok,"4,313",61,"4,313","33,572","33,572",114,546,546,840,722,722,"1,098",-0.27,1.011,1.011,.171,.171,-.043,-.349,-8.727,-8.727,-9.738,1.011,218,218,376,281,21,0,1,"2,561",,,,,,2018
88,Si Woo Kim,"4,848",72,"4,848","39,076","39,076",130,617,617,966,813,813,"1,242",-0.30,-17.732,-17.732,.366,.366,.045,.162,15.497,15.497,33.229,-17.732,266,266,429,580,20,0,1,"2,262",,,,,,2018
89,Anirban Lahiri,"3,962",56,"3,962","33,207","33,207",112,479,479,778,647,647,"1,008",-0.27,-1.170,-1.170,.390,.390,-.341,.238,12.001,12.001,13.172,-1.170,218,218,361,561,18,0,2,"2,281",,,,1,,2018
90,Andrew Putnam,"4,217",60,"4,217","31,856","31,856",112,515,515,827,723,723,"1,080",-0.27,2.012,2.012,-.289,-.289,.096,.189,1.800,1.800,-.214,2.012,230,230,357,311,20,0,1,"2,531",,,,,,2018
91,Chase Seiffert,"2,333",37,"2,333","18,873","18,873",66,289,289,459,384,384,594,-0.26,-6.169,-6.169,-.267,-.267,.274,.077,-4.570,-4.570,1.600,-6.169,128,128,210,134,11,0,,"2,708",,,,,,2018
92,Bubba Watson,"1,571",29,"1,571","13,247","13,247",44,191,191,306,251,251,396,-0.29,-3.715,-3.715,.277,.277,.040,.152,4.737,4.737,8.452,-3.715,78,78,145,199,9,0,1,"2,643",,,,,,2018
93,Ian Poulter,"2,401",41,"2,401","19,998","19,998",68,297,297,474,380,380,612,-0.29,11.677,11.677,-.281,-.281,-.080,.268,8.698,8.698,-2.978,11.677,149,149,232,162,13,0,,"2,680",,,,,,2018
94,Sepp Straka,"4,949",75,"4,949","39,959","39,959",132,580,580,974,841,841,"1,260",-0.26,8.252,8.252,.093,.093,-.197,-.018,2.175,2.175,-6.077,8.252,249,249,419,897,23,1,3,"1,945",,1,1,,1,2018
95,Brandon Wu,"3,226",50,"3,226","26,757","26,757",92,388,388,635,567,567,828,-0.31,11.381,11.381,-.046,-.046,.020,-.391,-.302,-.302,-11.683,11.381,153,153,261,374,17,0,2,"2,468",,,,1,1,2018
96,David Lipsky,"4,087",62,"4,087","34,116","34,116",116,525,525,801,712,712,"1,044",-0.30,-2.613,-2.613,-.091,-.091,.346,-.005,8.386,8.386,10.999,-2.613,184,184,332,402,20,0,3,"2,440",,,,,,2018
97,Tyler Duncan,"3,718",57,"3,718","31,109","31,109",106,505,505,731,654,654,954,-0.28,-14.395,-14.395,.234,.234,.245,.061,5.031,5.031,19.426,-14.395,181,181,300,245,18,0,,"2,597",,,,,,2018
98,Kevin Streelman,"4,512",64,"4,512","37,918","37,918",128,613,613,883,751,751,"1,152",-0.25,2.562,2.562,.290,.290,-.185,.160,17.450,17.450,14.886,2.562,256,256,401,294,19,0,1,"2,548",,,,,,2018
99,Ryan Armour,"2,537",40,"2,537","20,594","20,594",72,375,375,501,441,441,648,-0.23,-5.777,-5.777,.420,.420,.071,-.009,5.307,5.307,11.084,-5.777,134,134,207,141,13,0,,"2,701",,,,,,2018
100,Doug Ghim,"3,944",60,"3,944","30,736","30,736",104,489,489,776,671,671,"1,008",-0.26,-19.841,-19.841,.017,.017,.411,.121,4.328,4.328,24.169,-19.841,210,210,337,240,18,0,1,"2,602",,,,,,2018
101,Nick Taylor,"4,384",62,"4,384","36,606","36,606",124,519,519,857,731,731,"1,116",-0.25,-7.622,-7.622,.025,.025,.119,.019,.043,.043,7.663,-7.622,243,243,385,291,19,0,,"2,551",,,,,,2018
102,Peter Malnati,"5,279",75,"5,279","42,000","42,000",142,552,552,"1,037",870,870,"1,350",-0.31,15.364,15.364,-.298,-.298,.105,.133,11.792,11.792,-3.573,15.364,294,294,480,385,22,0,2,"2,457",,,,,,2018
103,Danny Willett,"2,696",42,"2,696","22,380","22,380",76,332,332,528,440,440,684,-0.24,-8.729,-8.729,-.002,-.002,-.368,.640,-2.259,-2.259,6.470,-8.729,151,151,244,182,13,0,,"2,660",,,,,,2018
104,Kevin Na,"2,389",38,"2,389","19,719","19,719",68,314,314,476,413,413,612,-0.31,-.595,-.595,-.588,-.588,.472,.191,1.671,1.671,2.267,-.595,117,117,199,306,11,0,1,"2,536",,,,,,2018
105,William McGirt,"2,116",30,"2,116","17,141","17,141",60,262,262,418,356,356,540,-0.21,-4.625,-4.625,-.337,-.337,-.326,.523,-8.671,-8.671,-4.046,-4.625,120,120,184,62,11,0,,"2,780",,,,,,2018
106,Pat Perez,"3,811",54,"3,811","28,859","28,859",100,427,427,741,626,626,972,-0.29,.248,.248,-.460,-.460,.212,.419,7.613,7.613,7.365,.248,214,214,346,249,17,0,2,"2,593",,,,,,2018
107,Vince Whaley,"4,293",63,"4,293","36,628","36,628",122,434,434,845,694,694,"1,098",-0.34,9.577,9.577,-.057,-.057,-.552,-.036,-18.154,-18.154,-27.730,9.577,228,228,404,283,20,0,1,"2,559",,,,,,2018
108,Beau Hossler,"3,271",48,"3,271","28,387","28,387",92,318,318,643,524,524,828,-0.30,34.624,34.624,-.191,-.191,-.696,.063,.865,.865,-33.757,34.624,180,180,304,494,16,0,2,"2,348",,,,,1,2018
109,Greyson Sigg,"4,504",66,"4,504","37,594","37,594",128,548,548,885,761,761,"1,152",-0.27,-.608,-.608,-.079,-.079,-.029,-.098,-10.059,-10.059,-9.454,-.608,250,250,391,232,20,0,,"2,610",,,,,,2018
110,Brooks Koepka,"2,817",45,"2,817","24,882","24,882",80,299,299,558,460,460,720,-0.31,9.450,9.450,.146,.146,-.065,-.168,6.462,6.462,-2.988,9.450,158,158,260,405,14,0,2,"2,437",,,,,1,2018
111,Stephan Jaeger,"4,177",63,"4,177","34,173","34,173",118,443,443,815,651,651,"1,062",-0.31,9.028,9.028,-.824,-.824,.014,.494,-6.459,-6.459,-15.488,9.028,251,251,411,273,21,0,1,"2,569",,,,,,2018
112,Robert Streb,"3,737",55,"3,737","29,476","29,476",98,443,443,728,609,609,954,-0.28,2.724,2.724,-.087,-.087,-.126,.051,-4.534,-4.534,-7.258,2.724,216,216,345,284,19,0,3,"2,558",,,,,,2018
113,Vaughn Taylor,"2,604",39,"2,604","20,910","20,910",74,356,356,514,439,439,666,-0.27,-13.783,-13.783,-.144,-.144,.326,.080,-7.498,-7.498,6.286,-13.783,146,146,227,113,13,0,1,"2,729",,,,,,2018
114,Jonathan Byrd,"2,609",39,"2,609","21,636","21,636",74,315,315,513,428,428,666,-0.27,8.774,8.774,-.597,-.597,-.512,.507,-5.070,-5.070,-13.844,8.774,159,159,238,197,13,0,1,"2,645",,,,,,2018
115,Kurt Kitayama,"3,108",48,"3,108","26,975","26,975",88,311,311,609,520,520,792,-0.32,-2.021,-2.021,-.001,-.001,.622,-.279,7.561,7.561,9.582,-2.021,152,152,272,481,16,0,2,"2,361",,,,1,1,2018
116,Chad Ramey,"4,096",60,"4,096","33,370","33,370",116,521,521,805,695,695,"1,044",-0.30,-11.200,-11.200,-.367,-.367,.380,-.200,-18.684,-18.684,-7.485,-11.200,191,191,349,538,20,1,2,"2,304",,1,1,,,2018
117,Patton Kizzire,"4,362",64,"4,362","37,701","37,701",124,464,464,864,732,732,"1,116",-0.30,3.443,3.443,-.146,-.146,.249,-.102,3.494,3.494,.052,3.443,240,240,384,283,19,0,1,"2,559",,,,,,2018
118,Sahith Theegala,"4,991",73,"4,991","43,107","43,107",142,529,529,981,841,841,"1,278",-0.29,-10.433,-10.433,.048,.048,.079,.126,3.966,3.966,14.398,-10.433,275,275,437,461,21,0,3,"2,381",,,,,1,2018
119,Brian Stuard,"4,870",73,"4,870","37,932","37,932",138,682,682,953,807,807,"1,242",-0.25,-17.838,-17.838,-.484,-.484,.132,.220,-24.316,-24.316,-6.477,-17.838,279,279,435,258,24,0,2,"2,584",,,,,,2018
120,Wyndham Clark,"4,015",61,"4,015","33,850","33,850",106,408,408,783,671,671,"1,026",-0.30,10.791,10.791,.023,.023,-.254,-.204,-7.894,-7.894,-18.689,10.791,217,217,355,260,19,0,1,"2,582",,,,,,2018
121,Graeme McDowell,"2,962",44,"2,962","23,804","23,804",84,378,378,580,495,495,756,-0.29,3.896,3.896,-.316,-.316,.257,-.316,-6.966,-6.966,-10.863,3.896,163,163,261,197,15,0,,"2,645",,,,,,2018
122,Austin Smotherman,"3,602",53,"3,602","30,844","30,844",102,451,451,705,622,622,918,-0.29,-7.518,-7.518,.431,.431,.567,-.448,12.819,12.819,20.337,-7.518,169,169,296,206,16,0,,"2,636",,,,,,2018
123,Michael Thompson,"4,226",60,"4,226","34,235","34,235",120,550,550,833,686,686,"1,080",-0.30,8.818,8.818,-.264,-.264,-.253,.047,-14.644,-14.644,-23.463,8.818,253,253,394,282,18,0,1,"2,560",,,,,,2018
124,Stewart Cink,"3,319",47,"3,319","28,553","28,553",94,390,390,655,571,571,846,-0.29,1.929,1.929,-.106,-.106,.165,-.338,-9.769,-9.769,-11.700,1.929,143,143,275,269,15,0,2,"2,573",,,,,,2018
125,Dylan Frittelli,"4,463",63,"4,463","38,026","38,026",126,444,444,877,739,739,"1,134",-0.27,-2.794,-2.794,-.158,-.158,.103,.092,-.906,-.906,1.889,-2.794,237,237,395,316,19,0,1,"2,526",,,,,,2018
126,Sam Ryder,"4,104",62,"4,104","31,745","31,745",108,466,466,804,668,668,"1,044",-0.32,8.064,8.064,-.243,-.243,-.110,.042,-6.843,-6.843,-14.907,8.064,207,207,376,350,20,0,3,"2,492",,,,,1,2018
127,Erik van Rooyen,"2,821",43,"2,821","21,691","21,691",72,350,350,556,485,485,720,-0.31,-5.422,-5.422,.156,.156,.366,-.391,-.957,-.957,4.464,-5.422,118,118,235,269,13,0,1,"2,573",,,,,,2018
128,Andrew Novak,"3,657",54,"3,657","30,721","30,721",104,406,406,721,623,623,936,-0.26,-9.057,-9.057,-.230,-.230,.188,.173,-4.877,-4.877,4.181,-9.057,208,208,313,193,18,0,,"2,649",,,,,,2018
129,Cam Davis,"3,528",50,"3,528","30,360","30,360",100,400,400,702,575,575,900,-0.31,1.267,1.267,.049,.049,.052,-.010,5.277,5.277,4.009,1.267,193,193,325,279,16,0,2,"2,563",,,,,1,2018
130,Francesco Molinari,"2,901",41,"2,901","24,121","24,121",82,347,347,571,468,468,738,-0.29,1.326,1.326,-.241,-.241,-.134,.277,-2.024,-2.024,-3.349,1.326,157,157,270,181,13,0,1,"2,661",,,,,,2018
131,Harry Higgs,"4,109",60,"4,109","32,438","32,438",108,458,458,800,642,642,"1,044",-0.27,15.892,15.892,-.104,-.104,-.624,-.001,-17.613,-17.613,-33.504,15.892,257,257,402,215,21,0,1,"2,627",,,,,,2018
132,Adam Schenk,"4,621",69,"4,621","37,081","37,081",122,489,489,898,743,743,"1,170",-0.27,9.837,9.837,-.155,-.155,-.040,-.418,-22.018,-22.018,-31.856,9.837,249,249,427,380,23,0,3,"2,462",,,,,1,2018
133,Lucas Herbert,"2,279",37,"2,279","19,469","19,469",64,239,239,452,336,336,576,-0.35,25.151,25.151,-.453,-.453,-.967,.255,-2.818,-2.818,-27.970,25.151,148,148,240,722,13,1,2,"2,120",,1,1,,,2018
134,Zach Johnson,"3,134",44,"3,134","24,962","24,962",88,372,372,610,492,492,792,-0.26,9.127,9.127,-.391,-.391,-.271,.031,-14.233,-14.233,-23.361,9.127,170,170,300,182,17,0,,"2,660",,,,,,2018
135,Lucas Glover,"4,310",63,"4,310","36,142","36,142",122,587,587,857,762,762,"1,098",-0.26,-30.120,-30.120,.269,.269,.398,-.159,-3.745,-3.745,26.375,-30.120,188,188,336,322,18,0,1,"2,520",,,,,,2018
136,Taylor Moore,"3,680",56,"3,680","31,311","31,311",104,446,446,721,625,625,936,-0.26,-13.284,-13.284,.210,.210,-.309,.156,-10.675,-10.675,2.610,-13.284,186,186,311,358,18,0,2,"2,484",,,,,,2018
137,Scott Piercy,"3,960",60,"3,960","33,098","33,098",112,428,428,773,626,626,"1,008",-0.29,-.219,-.219,-.105,-.105,-.110,.166,-2.440,-2.440,-2.222,-.219,236,236,382,226,19,0,,"2,616",,,,,,2018
138,John Huh,"3,314",49,"3,314","27,281","27,281",94,429,429,648,556,556,846,-0.29,.759,.759,-.145,-.145,-.107,-.040,-9.189,-9.189,-9.948,.759,172,172,290,210,16,0,1,"2,632",,,,,,2018
139,Kevin Kisner,"3,024",54,"3,024","24,946","24,946",86,412,412,601,522,522,774,-0.31,19.908,19.908,-.190,-.190,-.169,.262,16.408,16.408,-3.502,19.908,143,143,252,769,16,0,4,"2,073",,,,1,1,2018
140,Henrik Stenson,"1,782",29,"1,782","14,757","14,757",50,242,242,344,294,294,450,-0.23,-14.279,-14.279,.047,.047,.614,-.213,-3.950,-3.950,10.329,-14.279,87,87,156,78,11,0,,"2,764",,,,,,2018
141,Hudson Swafford,"4,379",62,"4,379","38,167","38,167",124,524,524,864,748,748,"1,116",-0.31,.696,.696,.009,.009,.406,-.649,-10.020,-10.020,-10.717,.696,200,200,368,640,20,1,1,"2,202",,1,1,,,2018
142,Trey Mullinax,"3,660",54,"3,660","32,881","32,881",104,396,396,719,604,604,936,-0.31,-10.996,-10.996,.493,.493,-.194,-.034,-.369,-.369,10.626,-10.996,197,197,332,228,19,0,1,"2,614",,,,,,2018
143,Justin Lower,"3,254",50,"3,254","26,976","26,976",92,382,382,639,572,572,828,-0.26,-8.206,-8.206,-.413,-.413,.266,-.473,-25.559,-25.559,-17.352,-8.206,144,144,256,178,15,0,1,"2,664",,,,,,2018
144,Adam Svensson,"4,373",64,"4,373","36,261","36,261",124,535,535,859,756,756,"1,116",-0.27,-14.985,-14.985,-.096,-.096,.259,-.112,-12.632,-12.632,2.352,-14.985,203,203,360,261,21,0,2,"2,581",,,,,,2018
145,Danny Lee,"2,695",40,"2,695","22,563","22,563",76,287,287,526,435,435,684,-0.34,-11.314,-11.314,.099,.099,-.239,-.481,-27.460,-27.460,-16.143,-11.314,137,137,249,384,16,0,2,"2,458",,,,1,,2018
146,Dylan Wu,"3,470",53,"3,470","28,940","28,940",98,407,407,681,583,583,882,-0.26,8.755,8.755,-.213,-.213,-.229,-.196,-12.312,-12.312,-21.067,8.755,177,177,299,141,17,0,1,"2,701",,,,,,2018
147,Hank Lebioda,"3,973",60,"3,973","32,556","32,556",112,473,473,774,637,637,"1,008",-0.27,11.578,11.578,-.374,-.374,-.050,-.054,-9.400,-9.400,-20.978,11.578,226,226,371,146,21,0,,"2,696",,,,,,2018
148,Brice Garnett,"4,308",63,"4,308","35,646","35,646",122,559,559,841,729,729,"1,098",-0.25,1.938,1.938,-.014,-.014,-.235,.131,-3.382,-3.382,-5.322,1.938,240,240,369,176,21,0,1,"2,666",,,,,,2018
149,Henrik Norlander,"3,825",56,"3,825","28,919","28,919",100,453,453,746,652,652,972,-0.25,-17.834,-17.834,-.274,-.274,.108,-.009,-25.192,-25.192,-7.360,-17.834,181,181,320,189,19,0,1,"2,653",,,,,,2018
150,Wesley Bryan,"2,475",37,"2,475","18,309","18,309",62,260,260,478,380,380,630,-0.30,3.212,3.212,-1.214,-1.214,.428,.320,-8.435,-8.435,-11.646,3.212,153,153,250,85,12,0,,"2,757",,,,,,2018
151,Bill Haas,"4,942",74,"4,942","39,298","39,298",132,541,541,965,812,812,"1,260",-0.25,6.483,6.483,-.361,-.361,-.545,.328,-21.261,-21.261,-27.744,6.483,288,288,448,119,22,0,,"2,723",,,,,,2018
152,Peter Uihlein,"3,117",46,"3,117","27,362","27,362",88,279,279,611,513,513,792,-0.29,-3.384,-3.384,-.031,-.031,-.058,.032,-4.888,-4.888,-1.503,-3.384,163,163,279,62,15,0,,"2,780",,,,,,2018
153,Chez Reavie,"4,188",61,"4,188","33,209","33,209",118,569,569,813,683,683,"1,062",-0.24,-18.988,-18.988,-.332,-.332,.270,-.018,-22.890,-22.890,-3.903,-18.988,240,240,379,296,20,0,1,"2,546",,,,,,2018
154,Lee Hodges,"4,179",61,"4,179","35,021","35,021",118,506,506,815,712,712,"1,062",-0.25,-25.115,-25.115,.178,.178,-.072,.099,-15.052,-15.052,10.063,-25.115,205,205,350,292,20,0,2,"2,550",,,,,1,2018
